Question;Answer;
I am a grandparent who owns my 16 year old granddaughter’s policy. I would like to cash this policy in as she is now covered by her parent’s. Can I do this?;The owner of a life insurance policy is the one who makes decisions about whether or not to keep the policy. The owner can also make beneficiary changes, change the mode or source of payment, or even change ownership of the policy to someone else. Many grandparents turn over policies on their grandchlidren to their grandchildren, making them responsible for future payments, or allowing them to then collect the cash value. But it up to you, as the policy owner, to decide whether to cash the policy in or make other administrative changes to it.;
How Much Does An Annuity Pay Per Month?;Annuities are based on the contribution there are different types of annuities where you can actually paid up in full which is one pay and they are structured payments.;
How Much Should You Invest In Annuities?;An annuity is a savings or investment product depending upon the definition of an annuity such as security product like variable annuities versus a non-security fixed annuity product. An IRA is an individual retirement account which is a qualified “plan” and not product that can hold investments as well as insurance products like annuities. A qualified plan in and of itself is an IRS code permitting special tax treatment but without a product is an empty economic storage bin. An annuity is a product, which can be in a qualified plan or remain a non-qualified annuity. Strictly on the basis of the question, “Is An Annuity Better Than An IRA?” Yes, an annuity is better than an empty shell. ;
What Are Tax Sheltered Annuities?;Qualified annuities generally refer to tax deferred annuities is a qualified plan like ab ERISA (Employee Retirement Income Security Act of 1974( qualified plan such as a 410(k). By inserting tax deferred annuities into a qualified plan contribution re-characterizes the basis as taxable during distributions, i.e. the entire annuity distributions are taxable as ordinary income. ;
What Is Present Value Of Annuities?;The present value of annuities is the current value of a set of cash flows in the future, based on a number of factors. Because of inflation, money at present is worth more than the same amount of money in the future. So present value of annuities looks at the value of the sum of payments expected, not just the sum.;
How Do Fixed Income Annuities Work?;A fixed income annuity is a contact with a life insurance company.  In exchange for a sum of money the company promises to pay a monthly income to you for the balance of your life.  The first major variation of this contract is a deferred fixed income annuity.  The difference is that the sum of money is not applied immediately but deferred until a later date.  There are many other variations of an annuity to include payments that are guaranteed for a specified period of time or payments that last through the lifetime of two people.;
What Is The Difference Between Annuities And Perpetuities?;Generally an annuity uses scheduled of fixed payments for a time certain period of basis and interest. Perpetuities are a schedule of fixed payments, generally for the life of the annuitant, of basis and interest with mortality credits added to the account tied to the age of the annuitant.;
My mother needs insurance where can I find it?;There are lots of variables that come in the play on that particular question. Age, health, type of coverage, amount of coverage, applicants health condition and medications they may take, the policy structure for example life insurance, health insurance the amount of coverage needed. Does she want major medical does she want catastrophic only does she want critical illness, once these questions are addressed then you can begin to formulate the type of coverage that would be most suitable.;
"Lets say the life policy holder dies, has life insurance and there are 6 beneficiaries listed, which were all living during and after the death. One of the beneficiaries dies two weeks later. What could happen her portion of the money?

";"Let's say the six beneficiaries are to receive a benefit of $600,000 in insurance proceeds, and each one gets $100,000.
In the case of the beneficiary who dies shortly thereafter, her $100,000 will be treated as she had requested before her death. The proceeds will go to her living trust only if she had requested that they be used in that manner; if not, her $100,000 goes to her estate. If it causes the estate value to exceed the exemption threshold, then it is taxed. As far as secondary beneficiaries go, they are a non-factor in this scenario, as all primaries took part in receiving the benefit.";
Do I Need To Have Life Insurance Before My Child Does?;"1.) Are you covered by a group policy at work? If so, will proof of that coverage work for the agent you are attempting to purchase your child's insurance from? Or, can you/have you added the child to your work policy? Not the best option if you were to leave work, but coverage nonetheless.
2.) Knowing that most companies are going to want to sell you a policy first, perhaps you look at securing a term policy for yourself - one that will not break your budget, but satisfy the requirements needed to be able to purchase the policy for your child. If you look at an ROP (Return of Premium) term policy, you might even be able to structure it in a way that helps you out with permanent coverage as well. Either way, a term policy will be a short term, less expensive way to cover the both of you.
3.) You might look at getting a policy for yourself, and adding your child on a rider (a clause added to the contract that provides additional benefits) to insure them as well for a period of time. That way you provide protection for your child, and provide coverage for them as well.
4.) You could take a few moments and look at your State's Department of Insurance website, and see what exactly the minimums/requirements are (good luck with that, maybe the coffee hadn't kicked in yet, but I found New York's fairly unhelpful). Then work between them.
I would look for an independent agent, and run your needs by them. I would be very open about your desire to seek a second opinion if the agent cannot come up with a viable solution for you. I promise you there is one. Thank you for asking your question, and for looking into providing for your child in a responsible and loving way. You rock! Good luck, and don't hesitate to contact me if you need any help.";
Is There Any Way To Find Out If A Deceased Parent Had A Life Insurance Policy?;"n every insurance policy sold, there is an agreement that you sign off on allowing a company called MIB (the Medical Information Bureau) to do a search of your insurance records. MIB acts as a repository for all insurance related claims. Insurers from Geico to Lenscrafters to Met Life use MIB to look at your insurance claim history to help assess the rate on your policy. They also have a department that helps search through their databases for folks that are seeking to know if their loved one had a policy. I think it costs around $75 to initiate the search, but it may be worth the expense. Go to mib.com, and on their home page is a link to ""finding a lost policy"". You can easily find your way from there. They can look at over 400 companies for a trace of your parent's policy.";
Does Multiplan Cover Major Medical Expenses?;"Multiplan is a Nationwide PPO Network that includes Doctor's, Specialists, Hospitals, Labs and Facilities. This network is used by multiple insurance carriers for different types of policies.

Major Medical benefits will be based on the Insurance Carrier and your actual policy. If you have an ACA compliant plan, it will cover major medical expenses and preexisting conditions. If you have a Short-Term Medical or Fixed Benefit policy, the policy should still cover major medical expenses up to the specified maximums, but will normally not cover any preexisting conditions.";
I Had Neck Surgery A Year Ago, And Am Having Problems With My Neck Again, Is That Considered Preexisting?;"It is going to depend on the Underwriting Policies of the particular insurance companies. While it is not the Exact same issue, the fact that it is in the same area ( Cervical Spine) it might be considered pre- existing. In addition even the ""fixed"" area could be considered a pre-existing condition if they deem not enough time has passed to be sure the operation has resolved the issue. This is area where it would benefit you to work with an experienced agent who can help you navigate the Underwriting practices of various insurance carriers.";
If An Insurer Made A Material Mistake On A Policy After 18 Months What Will Happen?;I can tell you that there is a given dispute period (in life insurance policies it is usually two years, look at your policy and see what your company defines yours as) and once that period has ended your contract terms are set. If you have found an issue in the policy terms or values contact your agent and get it resolved before that dispute period runs out, because after that you are bound by the policy's terms;
What Does Short Term Insurance Cover?;"Short-term health insurance covers major medical expenses, the ER, Urgent Care visits, along with office visit and prescription drugs. Depending on the carrier, there may be a deductible, coinsurance, or copay that applies to specific benefits. Inpatient and outpatient surgeries are also covered, along with typical expenses that are associated with hospital claims.

Rates are typically very inexpensive, since not all ACA Legislation-mandated coverage is included. However, temporary plans provide cheap stop-gap coverage when three months (or less) of benefits are needed. If longer periods of coverage are needed, you can re-apply for an additional policy, although underwriting is typically required.

Many larger insurers offer this type of coverage, which may be ideal if you miss the Open Enrollment deadline. However, if eligible for Medicare or Medicaid, this option should not be considered.";
How to make a business insurance claim ?;"Step one: Before getting in touch with us:
Before you get in touch with us, there are a few things that you can do to minimise the severity of the claim and prepare for the next steps. For example:
Do what you can to prevent more loss/damage and recover lost property
Don’t discuss or try to settle a claim before you've spoken to us
If loss/damage caused by malicious persons (e.g. thieves, vandals or rioters) contact the police immediately for a crime reference number
Check policy documents to find out what's covered and what excess is payable
Step two: What we'll ask for when you make claim
When you get in touch with us, we’ll ask you for some details. Having these details ready ahead of time will help make the claims process much easier and allow us to help you faster.
Here’s what we’ll as for:
Your personal details
Your policy number, if possible – you can find this in your AXA account if you don’t have it to hand
Any details relating to your claim
A crime reference number, if the loss or damage was caused maliciously
Any supporting evidence you can provide, such as photos or the damage, police reports etc
Step three: Getting in touch to make a claim
It’s important that you tell us about your claim as soon as possible. If you’re worried about a situation that could potentially turn into a claim, make sure you contact us in plenty of time so that our claims specialists can take through your concerns with you and help you decide on the best course of action going forward.
Step four: Let us handle the rest
We know that waiting for the outcome of a claim can be stressful, that’s why we do everything we can to process your claim and get things back to normal as quick as possible.
We’ll make a point of talking you through next steps and outlining how the process will progress past your first contact. We want to give you as much clarity as we can when it comes to the claims process, whether that’s a quick resolution or keeping you informed about any delays or unsuccessful claims.";
